fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_total_return,train_profit_factor,train_payoff_ratio,train_win_rate,train_total_trades,train_max_drawdown,train_avg_hold_hours,train_hit_27pct_symbols,train_near_liq_trades,train_gt5x_trade_pct,train_pnl_share_from_gt5x,profitable_symbols,symbols_tested,profitable_symbol_ratio,centrality_distance,passed_train_gate
10,50,20,2.0,3.0,72,14,-0.1070654548941179,0.9066184557657202,2.062240148795224,0.2857544138721902,6031,0.3473210274136897,21.766554508568785,6,0,0.0035362791770794126,0.003898653264511142,6,20,0.3,5.0,False
10,50,20,2.0,4.0,24,14,-0.09815408958649524,0.8904065599458564,1.6258937563442326,0.3338882719872523,6926,0.32042526689945416,14.586122591316819,5,0,0.004997493547407171,0.004909225106691016,6,20,0.3,6.0,False
10,50,20,2.0,4.0,48,14,-0.10106308249274584,0.8792289126232516,2.0370710982647955,0.2834762816410465,6078,0.336632358730712,21.00320220543683,6,0,0.006162248117885483,0.008658882152915704,5,20,0.25,5.0,False
10,50,20,2.0,4.0,72,14,-0.09134954541954415,0.9073790390067502,2.3760705755138867,0.2599301959080781,6014,0.33720349731352744,25.08600450210661,4,0,0.0024457542480059496,0.003780028889688228,6,20,0.3,6.0,False
10,50,20,2.5,1.5,24,14,-0.13864204572173908,0.960534622116983,1.2214180294000245,0.42566312958990943,7525,0.312160593118933,12.863296049722388,6,0,0.002070594451725866,0.0005809421576156352,4,20,0.2,5.0,False
10,50,20,2.5,1.5,48,14,-0.11484605560979991,0.9847384531037269,1.2336395390579864,0.4299896141386669,7235,0.32412902746703215,16.962449315108795,4,0,0.0019018442052664039,0.0008609798313658599,6,20,0.3,4.0,False
10,50,20,2.5,1.5,72,14,-0.10794658087756145,0.9941930181897888,1.2557191206809484,0.4284741829282555,7019,0.3256811751646208,19.029478757750272,4,0,0.0017779480191380428,0.000329111483337895,6,20,0.3,5.0,False
10,50,20,2.5,2.0,24,14,-0.1152957717667525,0.8967187935296591,1.4193281773732687,0.3865545024271652,7251,0.30333414406028814,14.814296522951954,5,0,0.001750442315059285,0.00023097449424999277,6,20,0.3,4.5,False
10,50,20,2.5,2.0,48,14,-0.09723544460336572,0.9095933267228382,1.513870634280612,0.374240744217152,6883,0.29802965315623914,21.023541958111785,4,0,0.0017775003067753022,0.0005742779796697125,5,20,0.25,3.5,False
10,50,20,2.5,2.0,72,14,-0.09126607271294129,0.9169613289250741,1.5997744169842794,0.36308979042673495,6636,0.2971081266038189,24.470618551313642,3,0,0.0022455811099910514,0.001581518521698765,5,20,0.25,4.5,False
10,50,20,2.5,3.0,24,14,-0.09978557113911825,0.9190028728980861,1.560018005496887,0.37054703482263135,6929,0.3120564373073984,16.107298677432595,5,0,0.0032968304233987784,0.0020835084993612463,6,20,0.3,5.5,False
10,50,20,2.5,3.0,48,14,-0.08583247509234024,0.9339016255752373,1.8050012354447849,0.3393028911990023,6243,0.3125635937215472,23.9149991756397,5,0,0.0028709193163207716,0.003344615802072472,8,20,0.4,4.5,False
10,50,20,2.5,3.0,72,14,-0.07974876248342327,0.9579654956092044,2.043602219269211,0.3178020051692485,6120,0.299439376994017,29.049158822508588,2,0,0.0016737281477257394,0.0018373479693437479,7,20,0.35,5.5,False
10,50,20,2.5,4.0,24,14,-0.09203850504887992,0.967462827426553,1.6493869695791754,0.37145524295347293,7131,0.30266257908415856,16.609873590538733,4,0,0.004771533012929662,0.0023252303800489335,7,20,0.35,6.5,False
10,50,20,2.5,4.0,48,14,-0.07512680372601838,0.9806362556266575,1.9505165282059742,0.33310559291779496,6230,0.30149331754260855,25.50785511283555,3,0,0.002994691532980415,0.0021486367325338333,8,20,0.4,5.5,False
10,50,20,2.5,4.0,72,14,-0.053991135439358885,1.0120773212019982,2.2710091659726652,0.3060904016085586,5872,0.2866555088302667,32.072533414091936,1,0,0.0006729371310097217,0.0010512014447965447,8,20,0.4,6.5,False
10,50,20,3.0,1.5,24,14,-0.12357617245584533,0.8502182579507236,1.2434807520836606,0.40447375730459256,7656,0.2874273224397734,15.62755701439005,5,0,0.0008735552843781617,0.001188388946017978,4,20,0.2,5.5,False
10,50,20,3.0,1.5,48,14,-0.0929588751950372,0.8886300048472311,1.239667015860401,0.4148284179115803,6992,0.28891595077762594,22.566106093024622,3,0,0.0006752508897639731,0.0005387241748890602,5,20,0.25,4.5,False
