fast_ema,slow_ema,breakout_window,atr_stop_mult,take_profit_mult,max_hold_bars,atr_window,train_return,train_pf,train_trades,valid_return,valid_pf,valid_trades,valid_win_rate,valid_payoff,valid_dd,rank_pf,ok
8,48,24,3.2,6.0,48,14,-0.01059364267883883,0.7546409234008595,182,-0.0033718834420228988,0.48014594026770374,28,0.2857142857142857,1.2003648506692592,0.006029645512363124,0.48014594026770374,False
20,96,64,2.8,4.0,64,14,0.0009477174637822972,1.0412249985699673,86,-0.0005170960458772192,0.47929769488418833,5,0.4,0.7189465423262825,0.0009929154323925478,0.47929769488418833,False
8,48,24,2.4,4.0,48,14,-0.006122985454219316,0.8869274393756987,179,-0.00409475376316423,0.4790910838930244,24,0.25,1.4372732516790734,0.006167237411459805,0.4790910838930244,False
8,48,24,2.4,6.0,48,14,-0.009180728870663955,0.8228946346786195,181,-0.00433511012667134,0.4708324922099447,28,0.2857142857142857,1.1770812305248617,0.006928695247996275,0.4708324922099447,False
8,48,24,2.8,3.5,48,14,-0.009864214132516327,0.7669190882204407,153,-0.0024493388041546063,0.4679711110815912,15,0.26666666666666666,1.286920555474376,0.0038561911441143066,0.4679711110815912,False
16,96,64,3.2,5.0,96,14,0.01197922684115481,1.726584877264625,74,-0.000608129072574875,0.4483756929791427,6,0.5,0.4483756929791427,0.0006172043749272309,0.4483756929791427,False
16,96,64,3.2,6.0,96,14,0.010935238914398512,1.6636452354889197,74,-0.000608129072574875,0.4483756929791427,6,0.5,0.4483756929791427,0.0006172043749272309,0.4483756929791427,False
8,48,24,2.4,4.0,64,14,0.0036268950443223234,1.0720999438894379,162,-0.004514865393144381,0.4443598684859847,23,0.21739130434782608,1.5996955265495447,0.00658565378765545,0.4443598684859847,False
8,48,24,3.2,4.0,64,14,0.0062131841656166585,1.1556232827716888,157,-0.0031869055050085596,0.43748118357118615,23,0.2608695652173913,1.2395300201183608,0.00566190819048497,0.43748118357118615,False
8,48,24,2.8,4.0,96,14,0.009851844416538056,1.2336241631293177,149,-0.004044450687047932,0.4327019559755351,22,0.2727272727272727,1.1538718826014271,0.006038793967060803,0.4327019559755351,False
20,96,64,3.2,4.0,64,14,-0.0022086050855858125,0.9028088577409074,86,-0.0005631278641840902,0.43025774589965815,5,0.4,0.6453866188494872,0.0009882506210353963,0.43025774589965815,False
8,48,24,2.4,6.0,96,14,0.017899700805608848,1.4164057700394468,141,-0.004447867280386431,0.4295128848861954,26,0.2692307692307692,1.1658206875482446,0.006434501976505232,0.4295128848861954,False
8,48,24,2.8,6.0,96,14,0.01463221103180681,1.3739911722009464,141,-0.0042193947738392665,0.41520814288299174,26,0.3076923076923077,0.9342183214867315,0.005888199548516221,0.41520814288299174,False
8,48,24,2.8,5.0,96,14,0.0138308063290194,1.3285791950401236,148,-0.0042193947738392665,0.41520814288299174,26,0.3076923076923077,0.9342183214867315,0.005888199548516221,0.41520814288299174,False
